,Concept_ID,no,sk
0,Auge::N,øye,oko
1,Ohr::N,øre,ucho
2,Nase::N,nese,nos
3,Mund::N,munn,ústa
4,Zahn::N,tann,zub
5,Zunge::N,tunge,jazyk
6,Lippe::N,leppe,pera
7,Wange::N,kinn,líce
8,Gesicht::N,fjes,tvár
9,Gesicht::N,fjes,obličaj
10,Gesicht::N,ansikt,tvár
11,Gesicht::N,ansikt,obličaj
12,Stirn::N,panne,čelo
13,Haar::N,hår,vlas
14,Schnurrbart::N,bart,fúzy
15,Bart::N,skjegg,brada
16,Kinn::N,hake,brada
17,Kiefer[Anatomie]::N,kjeve,čeľusť
18,Kehle::N,strupe,hrdlo
19,Hals::N,hals,krk
20,Genick::N,nakke,väzy
21,Kopf::N,hode,hlava
22,Rücken::N,rygg,chrbát
23,Bauch::N,buk,brucho
24,Bauch::N,mage,brucho
25,Nabel::N,navle,pupok
26,Busen::N,barm,prsia
27,Brust::N,bryst,hruď
28,Schulter::N,skulder,plece
29,Arm::N,arm,rameno
30,Ellenbogen::N,albue,lakeť
31,Hand::N,hånd,ruka
32,Handfläche::N,håndflate,dlaň
33,Finger::N,finger,prst
34,Fingernagel::N,fingernegl,necht
35,Nagel[Anatomie]::N,negl,necht
36,Zeh::N,tå,prst na nohe
37,Fuß::N,fot,noha
38,Ferse::N,hæl,päta
39,Knie::N,kne,koleno
40,Oberschenkel::N,lår,stehno
41,Bein::N,bein,noha
42,Körper::N,kropp,telo
43,Körper::N,legeme,telo
44,Haut::N,hud,koža
45,Haut::N,skinn,koža
46,Blut::N,blod,krv
47,Ader::N,åre,žila
48,Sehne::N,sene,šľacha
49,Knochen::N,bein,kosť
50,Knochen::N,knokkel,kosť
51,Gehirn::N,hjerne,mozog
52,Herz::N,hjerte,srdce
53,Magen::N,mage,žalúdok
54,Leber::N,lever,pečeň
55,Atem::N,pust,dych
56,Hunger::N,sult,hlad
57,Träne::N,tåre,slza
58,Geschmack::N,smak,chuť
59,Geruch::N,lukt,pach
60,Schlaf::N,søvn,spánok
61,Traum::N,drøm,sen
62,Himmel::N,himmel,nebo
63,Sonne::N,sol,slnko
64,Mond::N,måne,mesiac
65,Stern::N,stjerne,hviezda
66,Luft::N,luft,vzduch
67,Wind::N,vind,vietor
68,Welle::N,bølge,vlna
69,Wasser::N,vann,voda
70,Stein::N,stein,kameň
71,Boden::N,bakke,zem
72,Boden::N,bakke,pôda
73,Erde::N,jord,zem
74,Staub::N,støv,prach
75,Rauch::N,røyk,dym
76,Funke::N,gnist,iskra
77,Feuer::N,ild,oheň
78,Licht::N,lys,svetlo
79,Schatten::N,skygge,tieň
80,Wetter::N,vær,počasie
81,Nebel::N,tåke,hmla
82,Wolke::N,sky,oblak
83,Wolke::N,sky,mračno
84,Regen::N,regn,dážď
85,Schnee::N,snø,sneh
86,Eis::N,is,ľad
87,Frost::N,frost,mráz
88,Kälte::N,kulde,zima
89,Kälte::N,kulde,chlad
90,Hitze::N,hete,horúčava
91,Raureif::N,rimfrost,srieň
92,Raureif::N,rimfrost,inovať
93,Regenbogen::N,regnbue,dúha
94,Donner::N,torden,hrom
95,Strömung::N,strømning,prúdenie
96,Tropfen::N,dråpe,kvapka
97,Schaum::N,skum,pena
98,Schmutz::N,søl,špina
99,Schmutz::N,søl,nečistota
100,Schmutz::N,skitt,špina
101,Schmutz::N,skitt,nečistota
102,See::N,sjø,jazero
103,Sumpf::N,sump,bahno
104,Sumpf::N,myrlende,bahno
105,Moor::N,myr,močiar
106,Moor::N,myrhei,močiar
107,Wiese::N,eng,lúka
108,Wald::N,skog,les
109,Wald::N,skog,hora
110,Hügel::N,haug,vŕšok
111,Hügel::N,bakke,vŕšok
112,Anhöhe::N,haug,výšina
113,Anhöhe::N,haug,vyvýšenina
114,Anhöhe::N,bakke,výšina
115,Anhöhe::N,bakke,vyvýšenina
116,Berg::N,berg,hora
117,Berg::N,fjell,hora
118,Gipfel::N,topp,vrchol
119,Höhle::N,hule,jaskyňa
120,Abhang::N,li,úbočie
121,Abhang::N,skråning,úbočie
122,Quelle::N,kilde,prameň
123,Bach::N,bekk,potok
124,Fluss::N,elv,rieka
125,Ufer::N,bredd,breh
126,Küste::N,kyst,pobrežie
127,Festland::N,fastland,pevnina
128,Meer::N,hav,more
129,Bucht::N,bukt,záliv
130,Bucht::N,bukt,zátoka
131,Insel::N,øy,ostrov
132,Blume::N,blomst,kvet
133,Blume::N,blomst,kvetina
134,Gras::N,gress,tráva
135,Wurzel::N,rot,koreň
136,Baum::N,tre,strom
137,Stamm::N,stamme,kmeň
138,Rinde::N,bark,kôra
139,Ast::N,gren,konár
140,Zweig::N,kvist,vetva
141,Blatt::N,blad,list
142,Birke::N,bjørk,breza
143,Kiefer[Baum]::N,furu,sosna
144,Kiefer[Baum]::N,furu,borovica
145,Weide[Baum]::N,selje,vŕba
146,Weide[Baum]::N,piletre,vŕba
147,Tanne::N,gran,jedľa
148,Horn::N,horn,roh
149,Feder::N,fjær,pero
150,Fell::N,skinn,koža
151,Fell::N,skinn,kožušina
152,Flügel::N,vinge,krídlo
153,Klaue::N,klauv,paznecht
154,Kralle::N,klo,pazúr
155,Schwanz::N,hale,chvost
156,Ei::N,egg,vajce
157,Ei::N,egg,vajíčko
158,Nest::N,rede,hniezdo
159,Bau::N,hi,nora
160,Tier::N,dyr,zviera
161,Herde::N,flokk,stádo
162,Kuh::N,ku,krava
163,Bulle::N,tyr,býk
164,Pferd::N,hest,kôň
165,Schaf::N,får,ovca
166,Schwein::N,gris,sviňa
167,Hund::N,hund,pes
168,Katze::N,katt,mačka
169,Bär::N,bjørn,medveď
170,Eichhörnchen::N,ekorn,veverička
171,Elch::N,elg,los
172,Fuchs::N,rev,líška
173,Hase::N,hare,zajac
174,Maus::N,mus,myš
175,Wolf::N,ulv,vlk
176,Wolf::N,varg,vlk
177,Vogel::N,fugl,vták
178,Schwarm::N,sverm,roj
179,Huhn::N,høne,kurča
180,Huhn::N,høne,sliepka
181,Hahn::N,hane,kohút
182,Gans::N,gås,hus
183,Adler::N,ørn,orol
184,Ente::N,and,kačka
185,Ente::N,and,kačica
186,Eule::N,ugle,sova
187,Kranich::N,trane,žeriav
188,Krähe::N,kråke,vrana
189,Kuckuck::N,gjøk,kukučka
190,Schwan::N,svane,labuť
191,Fisch::N,fisk,ryba
192,Barsch::N,abbor,ostriež
193,Hecht::N,gjedde,šťuka
194,Schlange[Tier]::N,orm,had
195,Schlange[Tier]::N,slange,had
196,Wurm::N,orm,červ
197,Wurm::N,mark,červ
198,Spinne::N,edderkopp,pavúk
199,Ameise::N,maur,mravec
200,Laus::N,lus,voš
201,Mücke::N,mygg,komár
202,Fliege::N,flue,mucha
203,Schmetterling::N,sommerfugl,motýľ
204,Beere::N,bær,bobuľa
205,Apfel::N,eple,jablko
206,Pilz::N,sopp,hríb
207,Zwiebel::N,løk,cibuľa
208,Saat::N,sæd,osivo
209,Korn::N,korn,zrno
210,Heu::N,høy,seno
211,Schale::N,skall,šupa
212,Schale::N,skall,škrupina
213,Grube::N,grop,jama
214,Falle::N,felle,pasca
215,Falle::N,felle,klepec
216,Schlinge::N,snare,slučka
217,Spur::N,spor,stopa
218,Asche::N,aske,popol
219,Dreck::N,møkk,kal
220,Dreck::N,møkk,blato
221,Dreck::N,skitt,kal
222,Dreck::N,skitt,blato
223,Eisen::N,jern,železo
224,Gold::N,gull,zlato
225,Silber::N,sølv,striebro
226,Kohle::N,kol,uhlie
227,Kohle::N,kull,uhlie
228,Glas::N,glass,sklo
229,Lehm::N,leire,íl
230,Lehm::N,leire,hlina
231,Sand::N,sand,piesok
232,Mensch::N,menneske,človek
233,Mann::N,mann,muž
234,Mann::N,mann,chlap
235,Frau::N,kvinne,žena
236,Kind::N,barn,dieťa
237,Junge::N,gutt,chlapec
238,Mädchen::N,pike,dievka
239,Mädchen::N,jente,dievka
240,Familie::N,familie,rodina
241,Großvater::N,bestefar,dedo
242,Großvater::N,bestefar,starý otec
243,Großmutter::N,bestemor,babička
244,Großmutter::N,bestemor,stará mať
245,Eltern::N,foreldre,rodičia
246,Vater::N,far,otec
247,Mutter::N,mor,mať
248,Mutter::N,mor,matka
249,Sohn::N,sønn,syn
250,Tochter::N,datter,dcéra
251,Bruder::N,bror,brat
252,Schwester::N,søster,sestra
253,Onkel::N,onkel,ujo
254,Onkel::N,onkel,strýko
255,Tante::N,tante,teta
256,Tante::N,tante,tetka
257,Ehemann::N,ektemann,muž
258,Ehemann::N,ektemann,manžel
259,Ehefrau::N,hustru,žena
260,Ehefrau::N,hustru,manželka
261,Freude::N,glede,radosť
262,Gelächter::N,latter,smiech
263,Glück::N,lykke,šťastie
264,Kummer::N,sorg,žiaľ
265,Kummer::N,sorg,zármutok
266,Wunsch::N,ønske,prianie
267,Lust::N,lyst,chuť
268,Geist::N,ånd,duch
269,Gedanke::N,tanke,myšlienka
270,Gedächtnis::N,minne,pamäť
271,Gedächtnis::N,hukommelse,pamäť
272,Verstand::N,forstand,rozum
273,Sinn::N,mening,zmysel
274,Sinn::N,betydning,zmysel
275,Grund::N,grunn,dôvod
276,Grund::N,grunn,príčina
277,Wahrheit::N,sannhet,pravda
278,Gespräch::N,samtale,reč
279,Gespräch::N,samtale,rozhovor
280,Märchen::N,eventyr,rozprávka
281,Erzählung::N,fortelling,poviedka
282,Nachricht::N,melding,správa
283,Neuigkeit::N,nyhet,novinka
284,Name::N,navn,meno
285,Rätsel::N,gåte,záhada
286,Rätsel::N,gåte,hádanka
287,Rede::N,tale,reč
288,Sprache::N,språk,reč
289,Sprache::N,språk,jazyk
290,Stimme::N,stemme,hlas
291,Wort::N,ord,slovo
292,Zeichen::N,tegn,znak
293,Ruf::N,rop,volanie
294,Ruf::N,rop,zavolanie
295,Lärm::N,bråk,hluk
296,Lärm::N,bråk,hurhaj
297,Laut::N,lyd,zvuk
298,Ton::N,tone,tón
299,Ton::N,tone,zvuk
300,Lied::N,vise,pieseň
301,Ruhe::N,ro,pokoj
302,Leute::N,folk,ľudia
303,Volk::N,folk,ľud
304,Volk::N,folk,národ
305,Arbeit::N,arbeid,práca
306,Arbeit::N,arbeid,robota
307,Gast::N,gjest,hosť
308,Geschenk::N,gave,dar
309,Spiel::N,lek,hra
310,Spiel::N,spill,hra
311,Gesellschaft::N,selskap,spoločnosť
312,Hilfe::N,hjelp,pomoc
313,Freund::N,venn,priateľ
314,Kamerad::N,kamerat,kamarát
315,Angelegenheit::N,sak,vec
316,Angelegenheit::N,sak,záležitosť
317,Angelegenheit::N,anliggende,vec
318,Angelegenheit::N,anliggende,záležitosť
319,Anzahl::N,antall,počet
320,Anzahl::N,antall,množstvo
321,Art::N,art,druh
322,Art::N,slag,druh
323,Stück::N,stykke,kus
324,Stück::N,stykke,kúsok
325,Teil::N,del,časť
326,Hälfte::N,halvdel,polka
327,Hälfte::N,halvdel,polovica
328,Kreis::N,ring,kruh
329,Kreis::N,sirkel,kruh
330,Kreuz::N,kors,kríž
331,Kreuz::N,kryss,kríž
332,Linie::N,linje,línia
333,Strich::N,strek,čiara
334,Abstand::N,avstand,vzdialenosť
335,Entfernung::N,avstand,vzdialenosť
336,Gegend::N,strøk,kraj
337,Gegend::N,strøk,krajina
338,Platz::N,plass,miesto
339,Ort::N,sted,miesto
340,Seite::N,side,bok
341,Seite::N,side,strana
342,Mitte::N,midte,stred
343,Gegenstand::N,gjenstand,predmet
344,Sache::N,sak,vec
345,Rand::N,rand,kraj
346,Rand::N,rand,okraj
347,Kante::N,kant,hrana
348,Ecke::N,hjørne,roh
349,Spitze::N,spiss,hrot
350,Spitze::N,spiss,špička
351,Ende::N,ende,koniec
352,Loch::N,hull,diera
353,Winkel::N,vinkel,kút
354,Muster::N,mønster,vzor
355,Muster::N,mønster,vzorka
356,Größe::N,størrelse,veľkosť
357,Länge::N,lengde,dĺžka
358,Höhe::N,høyde,výška
359,Gewicht::N,vekt,váha
360,Menge::N,mengde,množstvo
361,Haufen::N,haug,hŕba
362,Haufen::N,bunke,hŕba
363,Reihe::N,rekke,rad
364,Boot::N,båt,čln
365,Ruder::N,åre,veslo
366,Schlitten::N,slede,sane
367,Schlitten::N,kjelke,sane
368,Ski::N,ski,lyža
369,Lagerfeuer::N,leirbål,táborák
370,Last::N,bør,ťarcha
371,Last::N,bør,bremeno
372,Last::N,last,ťarcha
373,Last::N,last,bremeno
374,Gang::N,gang,chôdza
375,Schritt::N,steg,krok
376,Schritt::N,skritt,krok
377,Norden::N,nord,sever
378,Süden::N,sør,juh
379,Westen::N,vest,západ
380,Osten::N,øst,východ
381,Holz::N,tre,drevo
382,Brett::N,fjøl,doska
383,Brett::N,brett,doska
384,Platte::N,plate,doska
385,Platte::N,plate,platňa
386,Stütze::N,støtte,opora
387,Stange::N,stang,tyč
388,Stock::N,pinne,palica
389,Stab::N,stav,palica
390,Stab::N,kjepp,palica
391,Rohr::N,rør,rúra
392,Haus::N,hus,dom
393,Heim::N,hjem,domov
394,Ofen::N,ovn,pec
395,Ofen::N,ovn,kachle
396,Fußboden::N,gulv,dlážka
397,Fußboden::N,gulv,podlaha
398,Tisch::N,bord,stôl
399,Stuhl::N,stol,stolička
400,Wiege::N,vogge,kolíska
401,Bett::N,seng,lôžko
402,Bett::N,seng,posteľ
403,Regal::N,reol,regál
404,Regal::N,reol,polica
405,Regal::N,hylle,regál
406,Regal::N,hylle,polica
407,Kiste::N,kasse,debna
408,Fenster::N,vindu,okno
409,Fenster::N,vindu,oblok
410,Tür::N,dør,dvere
411,Tor::N,port,vráta
412,Zaun::N,gjerde,plot
413,Zaun::N,gjerde,ohrada
414,Dach::N,tak,krov
415,Dach::N,tak,strecha
416,Leiter::N,stige,rebrík
417,Leiter::N,stige,rebrina
418,Besen::N,kost,metla
419,Spaten::N,spade,rýľ
420,Schaufel::N,skuffe,lopata
421,Gabel::N,gaffel,vidlička
422,Löffel::N,skje,lyžica
423,Messer::N,kniv,nôž
424,Nagel::N,spiker,klinec
425,Netz::N,nett,sieť
426,Haken::N,krok,hák
427,Haken::N,krok,háčik
428,Griff::N,tak,rukoväť
429,Griff::N,håndtak,rukoväť
430,Schloss::N,lås,zámka
431,Bild::N,bilde,obraz
432,Figur::N,figur,figúra
433,Puppe::N,dukke,bábka
434,Puppe::N,dukke,bábika
435,Beutel::N,pose,vrece
436,Beutel::N,pose,vrecko
437,Bündel::N,bylt,uzlík
438,Bündel::N,bylt,zväzok
439,Tasche::N,veske,taška
440,Tasche::N,veske,kabelka
441,Eimer::N,bøtte,vedro
442,Deckel::N,lokk,vrchnák
443,Deckel::N,lokk,pokrývka
444,Geschirr::N,kjøkkentøy,nádoba
445,Sack::N,sekk,mech
446,Sack::N,sekk,vrece
447,Tasse::N,kopp,šálka
448,Topf::N,gryte,hrniec
449,Kessel::N,kjele,kotol
450,Essen::N,mål,jedlo
451,Nahrung::N,mat,strava
452,Nahrung::N,mat,potrava
453,Nahrung::N,næring,strava
454,Nahrung::N,næring,potrava
455,Speise::N,matrett,jedlo
456,Fleisch::N,kjøtt,mäso
457,Getreide::N,korn,obilie
458,Brei::N,grøt,kaša
459,Brot::N,brød,chlieb
460,Scheibe::N,skive,kotúč
461,Scheibe::N,skive,krajec
462,Fett::N,fett,tuk
463,Fett::N,fett,masť
464,Butter::N,smør,maslo
465,Öl::N,olje,olej
466,Salz::N,salt,soľ
467,Suppe::N,suppe,polievka
468,Honig::N,honning,med
469,Milch::N,melk,mlieko
470,Tee::N,te,čaj
471,Leder::N,lær,koža
472,Leder::N,skinn,koža
473,Wolle::N,ull,vlna
474,Stoff::N,tøy,súkno
475,Stoff::N,stoff,súkno
476,Nadel::N,nål,ihla
477,Faden::N,tråd,niť
478,Faden::N,tråd,vlákno
479,Knopf::N,knapp,gombík
480,Knoten::N,knute,uzol
481,Farbe::N,farge,farba
482,Kleidung::N,påkledning,šaty
483,Kleidung::N,påkledning,šatstvo
484,Hemd::N,skjorte,košeľa
485,Kragen::N,krage,golier
486,Ärmel::N,erme,rukáv
487,Hose::N,bukse,nohavice
488,Gürtel::N,belte,pás
489,Gürtel::N,belte,opasok
490,Mütze::N,lue,čiapka
491,Schuh::N,sko,obuv
492,Schuh::N,sko,topánka
493,Stiefel::N,støvel,čižma
494,Ring::N,ring,prsteň
495,Band::N,band,stuha
496,Kamm::N,kam,hrebeň
497,Spiegel::N,speil,zrkadlo
498,Riemen::N,rem,remeň
499,Schnur::N,snor,šnúra
500,Leine::N,line,vodidlo
501,Decke::N,teppe,deka
502,Decke::N,teppe,prikrývka
503,Kissen::N,pute,poduška
504,Tuch::N,tøy,šatka
505,Handtuch::N,håndkle,uterák
506,Kraft::N,kraft,moc
507,Stärke::N,styrke,sila
508,Gesundheit::N,helse,zdravie
509,Gesundheit::N,sunnhet,zdravie
510,Krankheit::N,syke,nemoc
511,Krankheit::N,syke,choroba
512,Krankheit::N,sykdom,nemoc
513,Krankheit::N,sykdom,choroba
514,Schmerz::N,smerte,bolesť
515,Wunde::N,sår,rana
516,Fieber::N,feber,horúčka
517,Arznei::N,medisin,liek
518,Arznei::N,legemiddel,liek
519,Brücke::N,bro,most
520,Brunnen::N,brønn,studňa
521,Weide::N,beite,pastva
522,Pfad::N,sti,chodník
523,Weg::N,vei,cesta
524,Straße::N,gate,hradská
525,Dorf::N,landsby,dedina
526,Stadt::N,by,mesto
527,Brief::N,brev,list
528,Buch::N,bok,kniha
529,Buchstabe::N,bokstav,litera
530,Buchstabe::N,bokstav,písmeno
531,Zeitung::N,avis,noviny
532,Leben::N,liv,život
533,Tod::N,død,smrť
534,Grab::N,grav,hrob
535,Kirche::N,kirke,kostol
536,Sünde::N,synd,hriech
537,Gott::N,gud,boh
538,Arbeiter::N,arbeider,robotník
539,Arbeiter::N,arbeider,pracnovík
540,Chef::N,sjef,šéf
541,Chef::N,sjef,riaditeľ
542,Meister::N,mester,majster
543,Arzt::N,lege,lekár
544,Lehrer::N,lærer,učiteľ
545,Geld::N,penger,peniaze
546,Geschäft::N,forretning,obchod
547,Laden::N,butikk,obchod
548,Preis::N,pris,cena
549,Ware::N,vare,tovar
550,Nutzen::N,nytte,osoh
551,Nutzen::N,nytte,úžitok
552,Reichtum::N,rikdom,bohatstvo
553,Welt::N,verden,svet
554,Land::N,land,územie
555,Land::N,land,krajina
556,Staat::N,stat,štát
557,König::N,konge,kráľ
558,Macht::N,makt,moc
559,Macht::N,makt,mocnosť
560,Grenze::N,grense,hranica
561,Krieg::N,krig,vojna
562,Feind::N,fiende,nepriateľ
563,Gewalt::N,vold,násilie
564,Kampf::N,kamp,boj
565,Bogen[Waffe]::N,bue,luk
566,Pfeil::N,pil,šíp
567,Pfeil::N,pil,strela
568,Gewehr::N,gevær,puška
569,Fehler::N,feil,omyl
570,Fehler::N,feil,chyba
571,Lüge::N,løgn,lož
572,Schaden::N,skade,ujma
573,Schaden::N,skade,škoda
574,Unglück::N,uhell,nešťastie
575,Schuld::N,skyld,vina
576,Schuld::N,skyld,previnenie
577,Alter::N,alder,vek
578,Schluss::N,slutt,záver
579,Schluss::N,slutt,koniec
580,Zeit::N,tid,čas
581,Tag::N,dag,deň
582,Morgen::N,morgen,ráno
583,Mittag::N,middag,poludnie
584,Abend::N,aften,večer
585,Nacht::N,natt,noc
586,Woche::N,uke,týždeň
587,Monat::N,måned,mesiac
588,Jahr::N,år,rok
589,Frühling::N,vår,jar
590,Sommer::N,sommer,leto
591,Herbst::N,høst,jeseň
592,Winter::N,vinter,zima
593,Januar::N,januar,január
594,Februar::N,februar,február
595,März::N,mars,marec
596,April::N,april,apríl
597,Mai::N,mai,máj
598,Juni::N,juni,jún
599,Juli::N,juli,júl
600,August::N,august,august
601,September::N,september,september
602,Oktober::N,oktober,október
603,November::N,november,november
604,Dezember::N,desember,december
605,Montag::N,mandag,pondelok
606,Dienstag::N,tirsdag,utorok
607,Mittwoch::N,onsdag,streda
608,Donnerstag::N,torsdag,štvrtok
609,Freitag::N,fredag,piatok
610,Samstag::N,lørdag,sobota
611,Sonntag::N,søndag,nedeľa
612,groß::A,stor,veľký
613,klein::A,liten,malý
614,lang::A,lang,dlhý
615,kurz::A,kort,krátky
616,breit::A,bred,široký
617,schmal::A,smal,úzky
618,dicht::A,tett,hustý
619,dick[Gegenstand]::A,tykk,tlstý
620,dünn::A,tynn,tenký
621,fein::A,fin,jemný
622,fest::A,fast,pevný
623,flach::A,flat,rovný
624,flach::A,flat,plochý
625,glatt::A,glatt,hladký
626,hart::A,hard,tvrdý
627,weich::A,myk,mäkký
628,weich::A,bløt,mäkký
629,rund::A,rund,guľatý
630,rund::A,rund,okrúhly
631,spitz::A,spiss,končitý
632,scharf::A,kvass,ostrý
633,stumpf::A,stubb,tupý
634,schwer::A,tung,ťažký
635,schön::A,pen,pekný
636,schön::A,pen,krásny
637,schön::A,vakker,pekný
638,schön::A,vakker,krásny
639,heiß::A,het,horúci
640,warm::A,varm,teplý
641,kalt::A,kald,studený
642,kühl::A,kjølig,chladný
643,frisch::A,fersk,svieži
644,feucht::A,fuktig,vlhký
645,feucht::A,fuktig,zvlhnutý
646,nass::A,våt,mokrý
647,trocken::A,tørr,suchý
648,voll::A,full,plný
649,leer::A,tom,prázdny
650,offen::A,åpen,otvorený
651,geschlossen::A,lukket,zavretý
652,sauber::A,ren,čistý
653,schmutzig::A,skitten,špinavý
654,roh::A,rå,surový
655,reif::A,moden,zrelý
656,lecker::A,lekker,chutný
657,süß::A,søt,sladký
658,bitter::A,besk,horký
659,bitter::A,bitter,horký
660,sauer::A,sur,kyslý
661,hell::A,lys,jasný
662,hell::A,lys,svetlý
663,dunkel::A,mørk,temný
664,schwarz::A,svart,čierny
665,weiß::A,hvit,biely
666,rot::A,rød,červený
667,gelb::A,gul,žltý
668,blau::A,blå,modrý
669,blau::A,blå,belasý
670,grün::A,grønn,zelený
671,grau::A,grå,šedý
672,bunt::A,broket,pestrý
673,billig::A,billig,lacný
674,teuer::A,dyr,drahý
675,wertvoll::A,verdifull,cenný
676,blind::A,blind,slepý
677,taub::A,døv,hluchý
678,kräftig::A,kraftig,silný
679,stark::A,sterk,silný
680,schwach::A,svak,slabý
681,schwach::A,svak,bezvládny
682,fett::A,fet,tučný
683,schlank::A,slank,štíhly
684,hübsch::A,pen,šumný
685,hübsch::A,pen,švárny
686,böse::A,slem,zlý
687,dumm::A,dum,hlúpy
688,faul::A,lat,lenivý
689,faul::A,doven,lenivý
690,fleißig::A,flittig,snaživý
691,fleißig::A,flittig,usilovný
692,geizig::A,gjerrig,skupý
693,geizig::A,gjerrig,lakomý
694,klug::A,klok,múdry
695,klug::A,klok,bystrý
696,geschickt::A,hendig,zručný
697,geschickt::A,hendig,šikovný
698,geschickt::A,skikket,zručný
699,geschickt::A,skikket,šikovný
700,lieb::A,kjær,milý
701,lieb::A,snill,milý
702,lustig::A,morsom,veselý
703,sanft::A,blid,nežný
704,hungrig::A,sulten,lačný
705,hungrig::A,sulten,hladný
706,krank::A,syk,chorý
707,krank::A,syk,nemocný
708,nackt::A,naken,nahý
709,traurig::A,sørgmodig,smutný
710,lebendig::A,levende,živý
711,gut::A,god,dobrý
712,schlecht::A,dårlig,zlý
713,richtig::A,riktig,správny
714,schlimm::A,slem,zlý
715,schlimm::A,slem,nepríjemný
716,wahr::A,sann,pravý
717,wahr::A,sann,pravdivý
718,alt::A,gammel,starý
719,neu::A,ny,nový
720,ehemalig::A,forhenværende,bývalý
721,alt[Lebewesen]::A,gammel,starý
722,jung::A,ung,mladý
723,arm::A,fattig,chudobný
724,reich::A,rik,bohatý
725,bekannt::A,kjent,známy
726,berühmt::A,berømt,slávny
727,berühmt::A,berømt,povestný
728,fremd::A,fremmed,cudzí
729,verschieden::A,forskjellig,rôzny
