,Concept_ID,zh,tt
0,Auge::N,眼睛,күз
1,Ohr::N,耳朵,колак
2,Nase::N,鼻子,борын
3,Mund::N,嘴,авыз
4,Mund::N,嘴,тамак
5,Zahn::N,牙齿,теш
6,Zunge::N,舌头,тел
7,Lippe::N,嘴唇,ирен
8,Wange::N,面颊,яңак
9,Gesicht::N,脸,йөз
10,Stirn::N,额,маңгай
11,Haar::N,头发,чәч
12,Schnurrbart::N,髭须,мыек
13,Bart::N,胡子,сакал
14,Kinn::N,下巴,ияк
15,Kiefer[Anatomie]::N,颌,казналык
16,Kehle::N,嗓子,тамак
17,Hals::N,颈,бугаз
18,Genick::N,后颈,җилкә
19,Kopf::N,头,баш
20,Rücken::N,背,сырт
21,Bauch::N,肚子,корсак
22,Nabel::N,肚脐,кендек
23,Busen::N,胸脯,түш
24,Brust::N,胸,имчәк
25,Brust::N,胸,күкрәк
26,Schulter::N,肩膀,иңбаш
27,Schulter::N,肩膀,кулбаш
28,Arm::N,臂膀,кул
29,Ellenbogen::N,肘,терсәк
30,Hand::N,手,кул
31,Handfläche::N,手掌,уч
32,Finger::N,手指,бармак
33,Fingernagel::N,指甲,тырнак
34,Nagel[Anatomie]::N,指甲,тырнак
35,Zeh::N,脚趾,бармак
36,Fuß::N,脚,табан
37,Ferse::N,后跟,үкчә
38,Knie::N,膝,тез
39,Oberschenkel::N,大腿,бот
40,Bein::N,腿,аяк
41,Körper::N,身体,тән
42,Körper::N,身体,җисем
43,Haut::N,皮肤,тире
44,Blut::N,血,кан
45,Ader::N,血管,тамыр
46,Sehne::N,腱,сеңер
47,Knochen::N,骨,сөяк
48,Gehirn::N,脑,ми
49,Herz::N,心,йөрәк
50,Magen::N,胃,ашказаны
51,Leber::N,肝,бавыр
52,Atem::N,呼吸,сулыш
53,Hunger::N,饿,ачлык
54,Träne::N,眼泪,яшь
55,Geschmack::N,味道,тәм
56,Geschmack::N,味道,зәвык
57,Geruch::N,气味,ис
58,Schlaf::N,睡眠,йокы
59,Traum::N,梦,төш
60,Himmel::N,天空,күк
61,Sonne::N,太阳,кояш
62,Mond::N,月亮,ай
63,Stern::N,星,йолдыз
64,Luft::N,空气,һава
65,Wind::N,风,җил
66,Welle::N,波,дулкын
67,Wasser::N,水,су
68,Stein::N,石头,таш
69,Boden::N,地面,туфрак
70,Erde::N,地,җир
71,Staub::N,灰尘,тузан
72,Rauch::N,烟,төтен
73,Funke::N,火花,очкын
74,Feuer::N,火,ут
75,Licht::N,光,якты
76,Schatten::N,影子,күләгә
77,Wetter::N,天气,һава
78,Nebel::N,雾,томан
79,Wolke::N,云,болыт
80,Regen::N,雨,яңгыр
81,Schnee::N,雪,кар
82,Eis::N,冰,боз
83,Frost::N,霜冻,суык
84,Frost::N,霜冻,салкын
85,Kälte::N,寒冷,суык
86,Kälte::N,寒冷,салкын
87,Hitze::N,炎热,эсселек
88,Raureif::N,霜,бәс
89,Raureif::N,霜,сыкы
90,Regenbogen::N,虹,салават күпере
91,Donner::N,雷,күкрәү
92,Strömung::N,水流,агыш'агым
93,Tropfen::N,滴,тамчы
94,Schaum::N,泡沫,күбек
95,Schmutz::N,赃物,пычрак
96,See::N,湖,күл
97,Sumpf::N,沼泽,саз
98,Moor::N,沼泽,торфлык
99,Wiese::N,草地,болын
100,Wald::N,森林,урман
101,Hügel::N,丘陵,калку
102,Anhöhe::N,山丘,үр
103,Berg::N,山,тау
104,Gipfel::N,峰,оч
105,Höhle::N,洞穴,мәгарә
106,Abhang::N,斜坡,кабырга
107,Quelle::N,泉,чишмә
108,Bach::N,溪,елга
109,Fluss::N,河流,дәрья
110,Ufer::N,岸,су кырые
111,Küste::N,海岸,яр буе
112,Festland::N,大陆,коры җир
113,Meer::N,海,диңгез
114,Bucht::N,海湾,бухта
115,Bucht::N,海湾,култык
116,Insel::N,岛,атау
117,Insel::N,岛,утрау
118,Blume::N,花,чәчкә
119,Gras::N,草,үлән
120,Wurzel::N,根,тамыр
121,Baum::N,树,агач
122,Stamm::N,树干,кәүсә
123,Rinde::N,树皮,кабык
124,Ast::N,树枝,ботак
125,Zweig::N,树枝,ботак
126,Zweig::N,树枝,тармак
127,Blatt::N,叶子,яфрак
128,Birke::N,桦木,каен
129,Kiefer[Baum]::N,松树,нарат
130,Weide[Baum]::N,柳树,тал
131,Tanne::N,冷杉,чыршы
132,Horn::N,角,мөгез
133,Feder::N,羽毛,йон
134,Fell::N,皮毛,тире
135,Flügel::N,翅膀,канат
136,Klaue::N,爪子,тырнак
137,Kralle::N,爪子,тырнак
138,Schwanz::N,尾巴,койрык
139,Ei::N,蛋,күкәй
140,Ei::N,蛋,йомырка
141,Nest::N,巢,оя
142,Bau::N,穴,өн
143,Tier::N,动物,хайван
144,Herde::N,群,көтү
145,Kuh::N,母牛,сыер
146,Bulle::N,公牛,үгез
147,Pferd::N,马,ат
148,Schaf::N,羊,сарык
149,Schwein::N,猪,дуңгыз
150,Hund::N,狗,эт
151,Katze::N,猫,песи
152,Bär::N,熊,аю
153,Eichhörnchen::N,松鼠,тиен
154,Elch::N,麋鹿,поши
155,Fuchs::N,狐狸,төлке
156,Hase::N,兔子,куян
157,Maus::N,老鼠,тычкан
158,Wolf::N,狼,бүре
159,Vogel::N,鸟,кош
160,Schwarm::N,群,көтү
161,Huhn::N,鸡,тавык
162,Hahn::N,公鸡,әтәч
163,Gans::N,鹅,каз
164,Adler::N,鹰,каракош
165,Ente::N,鸭,үрдәк
166,Eule::N,猫头鹰,ябалак
167,Kranich::N,鹤,торна
168,Krähe::N,乌鸦,карга
169,Kuckuck::N,布谷鸟,күке
170,Kuckuck::N,布谷鸟,кәккүк
171,Schwan::N,天鹅,аккош
172,Fisch::N,鱼,балык
173,Barsch::N,鲈鱼,алабуга
174,Hecht::N,狗鱼,чуртан
175,Schlange[Tier]::N,蛇,елан
176,Wurm::N,蠕虫,корт
177,Spinne::N,蜘蛛,үрмәкүч
178,Ameise::N,蚂蚁,кырмыска
179,Laus::N,虱子,бет
180,Mücke::N,蚊子,черки
181,Mücke::N,蚊子,озынборын
182,Fliege::N,苍蝇,чебен
183,Schmetterling::N,蝴蝶,күбәләк
184,Beere::N,将果,җиләк
185,Apfel::N,苹果,алма
186,Pilz::N,蘑菇,гөмбә
187,Zwiebel::N,洋葱,суган
188,Zwiebel::N,洋葱,суганбаш
189,Saat::N,种子,орлык
190,Korn::N,谷粒,иген
191,Korn::N,谷粒,орлык
192,Heu::N,干草,печән
193,Schale::N,壳,кабык
194,Grube::N,坑,баз
195,Grube::N,坑,чокыр
196,Falle::N,圈套,тозак
197,Falle::N,圈套,капкын
198,Schlinge::N,活扣,элмәк
199,Spur::N,踪迹,эз
200,Asche::N,灰烬,көл
201,Dreck::N,污垢,пычрак
202,Eisen::N,铁,тимер
203,Gold::N,金子,алтын
204,Silber::N,银,көмеш
205,Kohle::N,煤,күмер
206,Glas::N,玻璃,пыяла
207,Lehm::N,粘土,балчык
208,Sand::N,沙,ком
209,Mensch::N,人,адәм
210,Mensch::N,人,инсан
211,Mann::N,男子,ир
212,Frau::N,妇女,хатын
213,Kind::N,小孩,бала
214,Junge::N,男孩,малай
215,Mädchen::N,女孩,кыз
216,Familie::N,家庭,гаилә
217,Großvater::N,祖父,бабай
218,Großmutter::N,祖母,әби
219,Eltern::N,父母,ата-ана
220,Vater::N,父亲,ата
221,Mutter::N,母亲,ана
222,Sohn::N,儿子,ул
223,Tochter::N,女儿,кыз
224,Bruder::N,兄弟,кардәш
225,Schwester::N,姐妹,апа
226,Schwester::N,姐妹,сеңел
227,Onkel::N,伯父,дәдә
228,Onkel::N,伯父,дәдәй
229,Tante::N,阿姨,түти
230,Tante::N,阿姨,тәтәй
231,Ehemann::N,丈夫,ир
232,Ehefrau::N,妻子,хатын
233,Freude::N,愉快,сөенеч
234,Gelächter::N,大笑,көлү
235,Gelächter::N,大笑,көлеш
236,Glück::N,运气,бәхет
237,Kummer::N,苦恼,хәсрәт
238,Wunsch::N,愿望,теләк
239,Lust::N,乐趣,теләк
240,Lust::N,乐趣,теләү
241,Geist::N,精神,рух
242,Gedanke::N,思想,уй
243,Gedanke::N,思想,фикер
244,Gedächtnis::N,记性,хәтер
245,Verstand::N,理智,акыл
246,Sinn::N,感觉,мәгънә
247,Grund::N,理由,сәбәп
248,Wahrheit::N,真理,хак
249,Gespräch::N,谈话,әңгәмә
250,Märchen::N,童话,әкият
251,Erzählung::N,故事,хикәя
252,Nachricht::N,消息,хәбәр
253,Neuigkeit::N,新闻,яңалык
254,Name::N,名字,исем
255,Rätsel::N,谜语,табышмак
256,Rede::N,讲话,нотык
257,Sprache::N,语言,тел
258,Stimme::N,声音,тавыш
259,Wort::N,词,сүз
260,Zeichen::N,标记,ишарә
261,Ruf::N,呼喊,дәшү
262,Lärm::N,噪音,шау
263,Laut::N,响声,аваз
264,Ton::N,声音,шалтырату
265,Lied::N,歌曲,җыр
266,Ruhe::N,安静,тынлык
267,Leute::N,人们,халык
268,Volk::N,人民,халык
269,Arbeit::N,劳动,эш
270,Arbeit::N,劳动,хезмәт
271,Gast::N,客人,кунак
272,Geschenk::N,礼物,бүләк
273,Spiel::N,游戏,уен
274,Gesellschaft::N,陪同,җәмгыять
275,Hilfe::N,帮助,ярдәм
276,Hilfe::N,帮助,булышлык
277,Freund::N,朋友,дус
278,Kamerad::N,同志,иптәш
279,Angelegenheit::N,事情,эш
280,Anzahl::N,数目,микъдар
281,Art::N,种类,төр
282,Stück::N,块,кисәк
283,Teil::N,部分,өлеш
284,Hälfte::N,一半,ярым
285,Kreis::N,圆,түгәрәк
286,Kreuz::N,十字架,хач
287,Kreuz::N,十字架,тәре
288,Linie::N,线条,сызык
289,Strich::N,划,сызык
290,Abstand::N,距离,ара
291,Entfernung::N,距离,ераклык
292,Gegend::N,地区,урын
293,Platz::N,场所,бушлык
294,Ort::N,地点,урын
295,Seite::N,面,як
296,Mitte::N,中间,урта
297,Gegenstand::N,物品,нәрсә
298,Sache::N,物,нәрсә
299,Rand::N,边,чит
300,Kante::N,棱,кырый
301,Ecke::N,角,почмак
302,Spitze::N,尖,оч
303,Ende::N,结尾,азак
304,Loch::N,洞,тишек
305,Winkel::N,角度,почмак
306,Muster::N,模型,парча
307,Größe::N,大小,зурлык
308,Länge::N,长度,озынлык
309,Höhe::N,高度,биеклек
310,Gewicht::N,重量,авырлык
311,Menge::N,数量,микъдар
312,Haufen::N,堆,өем
313,Reihe::N,行,рәт
314,Boot::N,小船,каек
315,Boot::N,小船,көймә
316,Ruder::N,奖,ишкәк
317,Schlitten::N,雪橇,чана
318,Ski::N,雪板,чаңгы
319,Lagerfeuer::N,营火,костёр
320,Last::N,负担,йөк
321,Gang::N,行走,йөреш
322,Schritt::N,步伐,адым
323,Norden::N,北,төньяк
324,Süden::N,南,көньяк
325,Westen::N,西,көнбатыш
326,Osten::N,东,шәрык
327,Osten::N,东,көнчыгыш
328,Holz::N,木材,агач
329,Brett::N,木板,такта
330,Platte::N,平板,плитә
331,Stütze::N,支架,таяу
332,Stange::N,杆,колга
333,Stock::N,棒,таяк
334,Stab::N,棍,таяк
335,Rohr::N,管子,торба
336,Haus::N,房屋,өй
337,Haus::N,房屋,йорт
338,Heim::N,家,гаилә
339,Heim::N,家,нәсел
340,Ofen::N,炉子,мич
341,Fußboden::N,地板,идән
342,Tisch::N,桌子,өстәл
343,Stuhl::N,椅子,утыргыч
344,Wiege::N,摇蓝,бишек
345,Bett::N,床,ятак
346,Bett::N,床,урын-җир
347,Regal::N,架子,киштә
348,Regal::N,架子,шүрлек
349,Kiste::N,箱子,әрҗә
350,Fenster::N,窗户,тәрәзә
351,Tür::N,门,ишек
352,Tor::N,大门,капка
353,Zaun::N,篱笆,койма
354,Dach::N,屋顶,түбә
355,Leiter::N,梯子,баскыч
356,Besen::N,扫帚,себерке
357,Spaten::N,铁锹,көрәк
358,Schaufel::N,铁锹,көрәк
359,Gabel::N,叉,чәннечке
360,Löffel::N,食匙,кашык
361,Messer::N,刀,пычак
362,Nagel::N,钉子,кадак
363,Netz::N,网,челтәр
364,Haken::N,钩子,ыргак
365,Griff::N,把柄,тотка
366,Schloss::N,锁,йозак
367,Bild::N,图画,рәсем
368,Bild::N,图画,картина
369,Figur::N,人像,сын
370,Figur::N,人像,фигура
371,Puppe::N,娃娃,курчак
372,Beutel::N,袋子,луза
373,Bündel::N,捆,бәйләм
374,Tasche::N,手提包,букча
375,Eimer::N,桶,чиләк
376,Deckel::N,盖子,капкач
377,Geschirr::N,餐具,савыт-саба
378,Geschirr::N,餐具,кашык-аяк
379,Sack::N,袋子,капчык
380,Tasse::N,杯子,чынаяк
381,Topf::N,锅,чүлмәк
382,Kessel::N,水壶,казан
383,Essen::N,进餐,ашау
384,Nahrung::N,食物,азык
385,Nahrung::N,食物,тәгам
386,Nahrung::N,食物,ашамлык
387,Speise::N,菜肴,ризык
388,Fleisch::N,肉,ит
389,Getreide::N,谷物,ашлык
390,Brei::N,粥,ботка
391,Brot::N,面包,ипи
392,Brot::N,面包,икмәк
393,Scheibe::N,片,телем
394,Fett::N,脂肪,май
395,Butter::N,黄油,май
396,Öl::N,油,май
397,Salz::N,盐,тоз
398,Suppe::N,汤,шулпа
399,Honig::N,蜂蜜,бал
400,Milch::N,奶,сөт
401,Tee::N,茶,чәй
402,Leder::N,皮革,күн
403,Wolle::N,毛线,йон
404,Stoff::N,织物,тукыма
405,Nadel::N,针,энә
406,Faden::N,线,җеп
407,Knopf::N,纽扣,төймә
408,Knoten::N,结,төен
409,Farbe::N,颜色,буяу
410,Kleidung::N,衣服,кием
411,Hemd::N,衬衫,күлмәк
412,Kragen::N,领子,яка
413,Ärmel::N,袖子,җиң
414,Hose::N,裤子,чалбар
415,Gürtel::N,腰带,билбау
416,Mütze::N,帽子,бүрек
417,Schuh::N,鞋,башмак
418,Stiefel::N,靴子,итек
419,Ring::N,戒指,балдак
420,Band::N,带子,тасма
421,Kamm::N,梳子,тарак
422,Spiegel::N,镜子,көзге
423,Riemen::N,皮带,каеш
424,Schnur::N,绳子,бау
425,Leine::N,皮带,тезген
426,Decke::N,被子,юрган
427,Kissen::N,软垫,мендәр
428,Tuch::N,巾,яулык
429,Handtuch::N,手巾,сөлгә
430,Kraft::N,力,егәр
431,Kraft::N,力,дәрман
432,Stärke::N,力量,көч
433,Stärke::N,力量,дәрман
434,Gesundheit::N,健康,саулык
435,Krankheit::N,病,чир
436,Krankheit::N,病,хаста
437,Krankheit::N,病,сырхау
438,Schmerz::N,痛,авырту
439,Wunde::N,伤口,яра
440,Wunde::N,伤口,җәрәхәт
441,Fieber::N,发烧,бизгәк
442,Arznei::N,药,дару
443,Brücke::N,桥,күпер
444,Brunnen::N,井,кое
445,Weide::N,牧场,утлавык
446,Pfad::N,小路,сукмак
447,Weg::N,路,юл
448,Straße::N,街,урам
449,Dorf::N,村庄,авыл
450,Stadt::N,城市,шәһәр
451,Brief::N,信,хат
452,Buch::N,书,китап
453,Buchstabe::N,字母,хәреф
454,Zeitung::N,报纸,газет
455,Zeitung::N,报纸,газета
456,Leben::N,生命,гомер
457,Leben::N,生命,тормыш
458,Leben::N,生命,тереклек
459,Tod::N,死亡,үлем
460,Grab::N,坟墓,гүр
461,Grab::N,坟墓,кабер
462,Kirche::N,教堂,чиркәү
463,Sünde::N,罪,язык
464,Sünde::N,罪,гөнаһ
465,Gott::N,上帝,алла
466,Gott::N,上帝,ходай
467,Arbeiter::N,工人,эшче
468,Chef::N,上司,башлык
469,Meister::N,师傅,оста
470,Arzt::N,医生,врач
471,Arzt::N,医生,табиб
472,Lehrer::N,教师,укытучы
473,Lehrer::N,教师,мөгаллим
474,Geld::N,钱,акча
475,Geschäft::N,交易,эш
476,Laden::N,商店,кибет
477,Laden::N,商店,магазин
478,Preis::N,价格,бәя
479,Preis::N,价格,бәһа
480,Ware::N,商品,товар
481,Nutzen::N,好处,файда
482,Reichtum::N,财富,байлык
483,Welt::N,世界,дөнья
484,Land::N,国家,ил
485,Staat::N,国家,дәүләт
486,König::N,国王,патша
487,Macht::N,权力,хакимият
488,Grenze::N,边界,чик
489,Krieg::N,战争,сугыш
490,Feind::N,敌人,дошман
491,Gewalt::N,暴力,көчләү
492,Kampf::N,战斗,көрәш
493,Bogen[Waffe]::N,弓,җәя
494,Pfeil::N,箭,ук
495,Gewehr::N,枪,мылтык
496,Fehler::N,错误,хата
497,Lüge::N,谎话,ялган
498,Schaden::N,损失,зыян
499,Schaden::N,损失,зарар
500,Unglück::N,不幸,бәла
501,Schuld::N,过错,гаеп
502,Alter::N,年龄,яшь
503,Schluss::N,结束,ахыр
504,Zeit::N,时间,заман
505,Tag::N,天,көн
506,Morgen::N,早晨,иртә
507,Mittag::N,中午,өйлә
508,Abend::N,晚上,кич
509,Nacht::N,夜,төн
510,Woche::N,星期,атна
511,Monat::N,月,ай
512,Jahr::N,年,ел
513,Frühling::N,春天,яз
514,Sommer::N,夏天,җәй
515,Herbst::N,秋天,көз
516,Winter::N,冬天,кыш
517,Januar::N,一月,гыйнвар
518,Februar::N,二月,февраль
519,März::N,三月,март
520,April::N,四月,апрель
521,Mai::N,五月,май
522,Juni::N,六月,июнь
523,Juli::N,七月,июль
524,August::N,八月,август
525,September::N,九月,сентябрь
526,Oktober::N,十月,октябрь
527,November::N,十一月,ноябрь
528,Dezember::N,十二月,декабрь
529,Montag::N,星期一,дүшәмбе
530,Dienstag::N,星期二,сишәмбе
531,Mittwoch::N,星期三,чәршәмбе
532,Donnerstag::N,星期四,атнакич
533,Donnerstag::N,星期四,пәнҗешәмбе
534,Freitag::N,星期五,җомга
535,Samstag::N,星期六,шимбә
536,Sonntag::N,星期日,якшәмбе
537,groß::A,大,зур
538,klein::A,小,кечкенә
539,lang::A,长,озын
540,kurz::A,短,кыска
541,breit::A,宽,киң
542,schmal::A,细长的,кысык
543,dicht::A,密,куе
544,dick[Gegenstand]::A,厚,калын
545,dünn::A,薄,нечкә
546,fein::A,细小,нәзакәтле
547,fest::A,固体,нык
548,flach::A,平坦,яссы
549,flach::A,平坦,ялпак
550,glatt::A,光滑,шома
551,hart::A,硬,каты
552,weich::A,软,йомшак
553,rund::A,圆,түгәрәк
554,spitz::A,尖,очлы
555,scharf::A,锋利,үткен
556,stumpf::A,钝,үтмәс
557,schwer::A,重,салмак
558,schön::A,美丽,гүзәл
559,heiß::A,烫,эссе
560,warm::A,暖和,җылы
561,kalt::A,冷,суык
562,kalt::A,冷,салкын
563,kühl::A,凉,салкынча
564,frisch::A,新鲜,салкынча
565,feucht::A,潮湿,юеш
566,nass::A,湿,дымлы
567,trocken::A,干,коры
568,voll::A,满,тулы
569,leer::A,空,буш
570,offen::A,敞开,ачык
571,geschlossen::A,关闭,йомык
572,sauber::A,干净,пакь
573,sauber::A,干净,чиста
574,schmutzig::A,肮脏,керле
575,schmutzig::A,肮脏,пычрак
576,roh::A,生,чи
577,reif::A,成熟,өлгергән
578,lecker::A,好吃,тәмле
579,süß::A,甜,татлы
580,bitter::A,苦,ачы
581,sauer::A,酸,әче
582,hell::A,亮,якты
583,dunkel::A,阴暗,кара
584,schwarz::A,黑,кара
585,weiß::A,白,ак
586,rot::A,红,кызыл
587,gelb::A,黄,сары
588,blau::A,蓝,күк
589,grün::A,绿,яшел
590,grau::A,灰色,соры
591,bunt::A,五彩,чуар
592,billig::A,便宜,арзан
593,teuer::A,贵,хаклы
594,wertvoll::A,贵重,кыйммәтле
595,blind::A,瞎,сукыр
596,blind::A,瞎,күзсез
597,taub::A,聋,чукрак
598,taub::A,聋,саңгырау
599,kräftig::A,强壮,егәрле
600,stark::A,强壮,нык
601,stark::A,强壮,базык
602,schwach::A,弱,зәгыйфь
603,fett::A,胖,симез
604,schlank::A,苗条,нәзек
605,hübsch::A,漂亮,чибәр
606,böse::A,邪恶,усал
607,dumm::A,笨,акылсыз
608,faul::A,懒惰,ялкау
609,faul::A,懒惰,иренчәк
610,fleißig::A,勤奋,тырыш
611,fleißig::A,勤奋,тырышучан
